customer_id,age,income,tenure_months,num_transactions,avg_transaction,signup_date,last_login,country,product,device,review_text,churn
CUST_000000,45,19719.331787385585,1,0,253.72539747342228,2020-12-28 10:17:25.471900,2022-04-24 10:17:25.471900,BR,C,mobile,,0
CUST_000001,38,27585.636049716657,102,46,159.30405703486562,2016-12-11 10:17:25.471900,2021-11-12 10:17:25.471900,ES,A,desktop,satisfatório preço - voltaria (id:1),0
CUST_000002,47,21212.736213467215,38,12,8.916118672410501,2016-03-23 10:17:25.471900,2021-08-17 10:17:25.471900,BR,A,mobile,regular entrega - não recomendo (id:2),0
CUST_000003,58,,48,22,2.999401237537787,2020-05-26 10:17:25.471900,2024-01-29 10:17:25.471900,PT,A,mobile,,0
CUST_000004,37,106666.31383609529,28,10,42.877050760018435,2018-07-22 10:17:25.471900,2018-09-14 10:17:25.471900,BR,B,mobile,bom produto - não recomendo (id:4),0
CUST_000005,37,18143.398573480503,4,6,33.541404065350775,2021-12-09 10:17:25.471900,2024-05-24 10:17:25.471900,BR,A,mobile,ótimo produto - recomendo (id:5),0
CUST_000006,58,89387.70716783164,0,1,102.69979286658044,2017-06-16 10:17:25.471900,2023-06-17 10:17:25.471900,BR,C,mobile,regular preço - faz o trabalho (id:6),0
CUST_000007,49,17970.64971907548,47,16,182.69842674346947,2022-04-04 10:17:25.471900,2023-04-04 10:17:25.471900,BR,B,mobile,bom entrega - não recomendo (id:7),0
CUST_000008,34,16934.961786231393,12,2,132.8363187507885,2025-06-13 10:17:25.471900,2025-07-15 10:17:25.471900,US,B,mobile,,0
CUST_000009,46,75866.85359801564,7,2,50.62451493459339,2018-04-04 10:17:25.471900,2019-01-11 10:17:25.471900,BR,D,desktop,péssimo preço - faz o trabalho (id:9),0
CUST_000010,34,832616.0022744153,19,8,741.781701624949,2020-05-28 10:17:25.471900,2022-02-28 10:17:25.471900,PT,A,desktop,,0
CUST_000011,34,78140.90443489258,13,5,23.752265965919783,2021-05-06 10:17:25.471900,2022-11-25 10:17:25.471900,BR,A,mobile,ruim entrega - recomendo (id:11),0
CUST_000012,42,11112.016092071062,25,10,183.46937698146945,2020-06-07 10:17:25.471900,2022-02-08 10:17:25.471900,BR,B,desktop,,0
